City Name,Zone Name,Ward Name,Ward No.,No. of unemployed persons (seeking or available for work),No. of employed persons,Total labour force in the city (age 15-59) [Employed + Unemployed Persons)
Bengaluru,West,Kadu Malleshwar Ward,132,24192,17295,41487
Bengaluru,West,Subramanya Nagar,133,20821,14292,35113
Bengaluru,West,Nagapura,134,29473,20011,49484
Bengaluru,Yelahanka,Kempegowda Ward,135,24565,13034,37599
Bengaluru,Yelahanka,Chowdeswari Ward,136,24141,14498,38639
Bengaluru,Yelahanka,Atturu,137,22395,13644,36039
Bengaluru,Yelahanka,Yelahanka Satellite Town,138,15222,9579,24801
Bengaluru,Yelahanka,Jakkuru,139,17923,11421,29344
Bengaluru,Yelahanka,Thanisandra,140,19222,12991,32213
Bengaluru,Yelahanka,Byatarayanapura,141,22634,16191,38825
Bengaluru,Yelahanka,Kodigehalli,142,20644,14022,34666
Bengaluru,Yelahanka,Vidyaranyapura,143,20117,12345,32462
Bengaluru,Yelahanka,Dodda Bommasandra,144,20320,14559,34879
Bengaluru,Yelahanka,Kuvempu Nagar,145,22458,15851,38309
Bengaluru,Dasarahalli,Shettihalli,146,18256,12411,30667
Bengaluru,Dasarahalli,Mallasandra,147,20146,14153,34299
Bengaluru,Dasarahalli,Bagalakunte,148,25595,21409,47004
Bengaluru,Dasarahalli,T Dasarahalli,149,31525,23100,54625
Bengaluru,Rajarajeswari Nagar,Jalahalli,150,37850,42330,80180
Bengaluru,Rajarajeswari Nagar,J P Park,151,19966,18350,38316
Bengaluru,East,Radhakrishna Temple Ward,152,20058,19939,39997
Bengaluru,East,SanJayanagar,153,22489,15662,38151
Bengaluru,East,Ganga Nagar,154,18294,14346,32640
Bengaluru,East,Hebbala,155,21643,15339,36982
Bengaluru,East,Vishwanath Nagenahalli,156,23858,17521,41379
Bengaluru,East,Nagavara,157,18859,15794,34653
Bengaluru,East,HBR Layout,158,25093,20835,45928
Bengaluru,Mahadevapura,Horamavu,159,24140,16631,40771
Bengaluru,Mahadevapura,Ramamurthy Nagar,160,32237,24660,56897
Bengaluru,East,Banasavadi,161,27106,19699,46805
Bengaluru,East,Kammanahalli,162,24298,18897,43195
Bengaluru,East,Kacharkanahalli,163,25909,19663,45572
Bengaluru,East,Kadugondanahalli,164,24714,18769,43483
Bengaluru,East,Kushal Nagar,165,15208,10790,25998
Bengaluru,East,Kaval Bairasandra,166,15471,11569,27040
Bengaluru,East,Manorayana Palya,167,19011,13745,32756
Bengaluru,East,Gangenahalli,168,17072,11281,28353
Bengaluru,West,Aramane Nagara,169,18676,13390,32066
Bengaluru,West,Mattikere,170,19505,14422,33927
Bengaluru,Rajarajeswari Nagar,Yeshwanthpura,171,30560,18431,48991
Bengaluru,Rajarajeswari Nagar,HMT Ward,172,22347,20277,42624
Bengaluru,Dasarahalli,Chokkasandra,173,18474,15047,33521
Bengaluru,Rajarajeswari Nagar,Dodda Bidarakallu,174,32315,30718,63033
Bengaluru,Dasarahalli,Peenya Industrial Area,175,21774,21811,43585
Bengaluru,Rajarajeswari Nagar,Lakshmi Devi Nagar,176,26272,25978,52250
Bengaluru,West,Nandini Layout,177,15771,13075,28846
Bengaluru,West,Marappana Palya,178,17586,13448,31034
Bengaluru,West,Malleshwaram,179,13712,12159,25871
Bengaluru,East,Jayachamarajendra Nagar,180,24063,18108,42171
Bengaluru,East,Devara Jeevanahalli,181,27251,19931,47182
Bengaluru,East,Muneshwara Nagar,182,24353,16684,41037
Bengaluru,East,Lingarajapura,183,24537,18827,43364
Bengaluru,East,Benniganahalli,184,32048,25161,57209
Bengaluru,Mahadevapura,Vijnanapura,185,27533,19410,46943
Bengaluru,Mahadevapura,KR Puram,186,21269,17025,38294
Bengaluru,Mahadevapura,Basavanapura,187,27146,22061,49207
Bengaluru,Mahadevapura,Hudi,188,27190,22694,49884
Bengaluru,Mahadevapura,Devasandra,189,29928,38626,68554
Bengaluru,Mahadevapura,A Narayanapura,190,31616,34274,65890
Bengaluru,East,C.V. Raman Nagar,191,36427,34577,71004
Bengaluru,East,New Tippa Sandra,192,40308,39729,80037
Bengaluru,East,Maruthi Seva Nagar,193,26830,31525,58355
Bengaluru,East,Sagayara Puram,194,29132,22779,51911
Bengaluru,East,SK Garden,195,31889,25446,57335
Bengaluru,East,Ramaswamy Palya,196,26414,19194,45608
Bengaluru,East,Jaya Mahal,197,34150,27907,62057
Bengaluru,West,Raj Mahal Guttahalli,198,29258,21182,50440
