Attendance Date,In Time,Last Out Time,Was at Work
23-Nov-17,12:34 PM,10:16 PM,TRUE
22-Nov-17,12:42 PM,10:52 PM,TRUE
21-Nov-17,11:52 AM,10:22 PM,TRUE
20-Nov-17,12:23 PM,11:27 PM,TRUE
19-Nov-17,,,FALSE
18-Nov-17,,,FALSE
17-Nov-17,10:55 AM,10:29 PM,TRUE
16-Nov-17,11:37 AM,10:40 PM,TRUE
15-Nov-17,11:34 AM,11:13 PM,TRUE
14-Nov-17,10:20 AM,11:04 PM,TRUE
13-Nov-17,12:43 PM,12:31 AM,TRUE
12-Nov-17,,,FALSE
11-Nov-17,,,FALSE
10-Nov-17,11:32 AM,10:35 PM,TRUE
09-Nov-17,10:49 AM,10:37 PM,TRUE
08-Nov-17,12:43 PM,11:46 PM,TRUE
07-Nov-17,10:03 AM,10:00 PM,TRUE
06-Nov-17,10:46 AM,11:34 PM,TRUE
05-Nov-17,03:41 PM,06:47 PM,TRUE
04-Nov-17,,,FALSE
03-Nov-17,10:58 AM,10:33 PM,TRUE
02-Nov-17,10:47 AM,10:05 PM,TRUE
01-Nov-17,,,FALSE
31-Oct-17,11:52 AM,10:35 PM,TRUE
30-Oct-17,11:54 AM,10:17 PM,TRUE
29-Oct-17,02:41 PM,07:51 PM,TRUE
28-Oct-17,,,FALSE
27-Oct-17,10:22 AM,11:11 PM,TRUE
26-Oct-17,10:56 AM,10:55 PM,TRUE
25-Oct-17,11:38 AM,11:51 PM,TRUE
24-Oct-17,10:38 AM,11:51 PM,TRUE
23-Oct-17,11:19 AM,10:38 PM,TRUE
22-Oct-17,02:11 PM,07:45 PM,TRUE
21-Oct-17,,,FALSE
20-Oct-17,10:47 AM,11:27 PM,TRUE
19-Oct-17,,,FALSE
18-Oct-17,11:08 AM,10:34 PM,TRUE
17-Oct-17,10:29 AM,10:05 PM,TRUE
16-Oct-17,11:39 AM,10:06 PM,TRUE
15-Oct-17,,,FALSE
14-Oct-17,,,FALSE
13-Oct-17,12:10 PM,10:06 PM,TRUE
12-Oct-17,12:48 PM,10:13 PM,TRUE
11-Oct-17,11:04 AM,10:01 PM,TRUE
10-Oct-17,11:06 AM,10:01 PM,TRUE
09-Oct-17,12:09 PM,10:14 PM,TRUE
08-Oct-17,,,FALSE
07-Oct-17,,,FALSE
06-Oct-17,12:16 PM,09:59 PM,TRUE
05-Oct-17,06:10 PM,10:02 PM,TRUE
04-Oct-17,,,FALSE
