"","date","main_activity","count","out.of.house.time","out.of.house.lat","out.of.house.long","In.Time","Last.Out.Time","Was.at.Work","in.time.dmy.hm","out.time.dmy.hm","post.midnight","hours.worked","policy.in.time","policy.in.time.dmy.hm","policy.out.time.dmy.hm","diff.in.time","diff.out.time","travelling.time"
"76",2018-03-27,"IN_VEHICLE",4,2018-03-27 11:36:20,12.9773171,77.7335171,"11:48 AM","10:08 PM",TRUE,2018-03-27 11:48:00,2018-03-27 22:08:00,FALSE,10.3333333333333,"1:15 PM",2018-03-27 13:15:00,2018-03-27 22:15:00,87,-7,699.072999954224
"77",2018-03-29,"ON_FOOT",5,2018-03-29 12:49:14,12.9773842,77.7335303,"01:02 PM","10:25 PM",TRUE,2018-03-29 13:02:00,2018-03-29 22:25:00,FALSE,9.38333333333333,"1:15 PM",2018-03-29 13:15:00,2018-03-29 22:15:00,13,10,765.270999908447
"78",2018-03-30,"IN_VEHICLE",4,2018-03-30 12:25:45,12.9769972,77.7334134,"12:40 PM","10:03 PM",TRUE,2018-03-30 12:40:00,2018-03-30 22:03:00,FALSE,9.38333333333333,"1:15 PM",2018-03-30 13:15:00,2018-03-30 22:15:00,35,-12,854.006000041962
"79",2018-04-02,"IN_VEHICLE",4,2018-04-02 12:52:21,12.9769932,77.733258,"01:07 PM","11:54 PM",TRUE,2018-04-02 13:07:00,2018-04-02 23:54:00,FALSE,10.7833333333333,"1:15 PM",2018-04-02 13:15:00,2018-04-02 22:15:00,8,99,878.084000110626
"80",2018-04-03,"ON_FOOT",5,2018-04-03 12:38:57,12.978058,77.7338109,"12:51 PM","10:12 PM",TRUE,2018-04-03 12:51:00,2018-04-03 22:12:00,FALSE,9.35,"1:15 PM",2018-04-03 13:15:00,2018-04-03 22:15:00,24,-3,722.082000017166
"81",2018-04-04,"IN_VEHICLE",4,2018-04-04 12:34:25,12.9777752,77.7335152,"12:53 PM","10:09 PM",TRUE,2018-04-04 12:53:00,2018-04-04 22:09:00,FALSE,9.26666666666667,"1:15 PM",2018-04-04 13:15:00,2018-04-04 22:15:00,22,-6,1115
"82",2018-04-05,"ON_FOOT",3,2018-04-05 12:42:10,12.9770088,77.7336019,"01:00 PM","10:15 PM",TRUE,2018-04-05 13:00:00,2018-04-05 22:15:00,FALSE,9.25,"1:15 PM",2018-04-05 13:15:00,2018-04-05 22:15:00,15,0,1069.86899995804
"83",2018-04-06,"IN_VEHICLE",4,2018-04-06 12:28:05,12.9770089,77.7332069,"12:41 PM","10:08 PM",TRUE,2018-04-06 12:41:00,2018-04-06 22:08:00,FALSE,9.45,"1:15 PM",2018-04-06 13:15:00,2018-04-06 22:15:00,34,-7,774.641999959946
"84",2018-04-09,"ON_BICYCLE",3,2018-04-09 12:38:45,12.9780399,77.7336807,"12:54 PM","10:41 PM",TRUE,2018-04-09 12:54:00,2018-04-09 22:41:00,FALSE,9.78333333333333,"1:15 PM",2018-04-09 13:15:00,2018-04-09 22:15:00,21,26,914.299999952316
"85",2018-04-10,"ON_BICYCLE",3,2018-04-10 12:44:47,12.9781028,77.7334141,"12:57 PM","10:30 PM",TRUE,2018-04-10 12:57:00,2018-04-10 22:30:00,FALSE,9.55,"1:15 PM",2018-04-10 13:15:00,2018-04-10 22:15:00,18,15,732.736999988556
"86",2018-04-11,"ON_BICYCLE",5,2018-04-11 12:24:03,12.9770065,77.7335839,"12:40 PM","10:02 PM",TRUE,2018-04-11 12:40:00,2018-04-11 22:02:00,FALSE,9.36666666666667,"1:15 PM",2018-04-11 13:15:00,2018-04-11 22:15:00,35,-13,956.319999933243
"87",2018-04-12,"ON_FOOT",4,2018-04-12 12:38:32,12.9780741,77.7338657,"01:02 PM","10:33 PM",TRUE,2018-04-12 13:02:00,2018-04-12 22:33:00,FALSE,9.51666666666667,"1:15 PM",2018-04-12 13:15:00,2018-04-12 22:15:00,13,18,1408
"88",2018-04-13,"ON_BICYCLE",3,2018-04-13 12:36:41,12.9770948,77.7336667,"12:52 PM","10:11 PM",TRUE,2018-04-13 12:52:00,2018-04-13 22:11:00,FALSE,9.31666666666667,"1:15 PM",2018-04-13 13:15:00,2018-04-13 22:15:00,23,-4,918.323999881744
"89",2018-04-16,"ON_BICYCLE",3,2018-04-16 12:30:01,12.9770174,77.7331913,"12:46 PM","10:39 PM",TRUE,2018-04-16 12:46:00,2018-04-16 22:39:00,FALSE,9.88333333333333,"1:15 PM",2018-04-16 13:15:00,2018-04-16 22:15:00,29,24,958.950999975204
"90",2018-04-17,"ON_FOOT",3,2018-04-17 12:48:25,12.9770111,77.7336688,"01:03 PM","10:30 PM",TRUE,2018-04-17 13:03:00,2018-04-17 22:30:00,FALSE,9.45,"1:15 PM",2018-04-17 13:15:00,2018-04-17 22:15:00,12,15,874.303999900818
